Function Selector,Resolved Function Signature,Payable,View,Pure,Returns,Entry Point,Branch Count,Emitted Events,Custom Errors,Storage Slots,Strings,Hardcoded Addresses,Minimum Gas Used,Maximum Gas Used,Average Gas Used,External Calls Made,Control Statements
2985fa31,"mulScalar(arg0 uint256, arg1 uint256)",false,false,true,uint256,1361,6,"","","","SafeMath: multiplication overflow","",21230,21712,21427,"","if (arg0) { .. }
if (!(((arg0) & ((arg1 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / arg0)))))) { .. }
if (((arg0 * arg1) / arg0) == arg1) { .. }"
70a08231,"balanceOf(arg0 address)",false,true,false,uint256,1864,3,"","","keccak256(memory[0])","","",21251,23665,21913,"","if (arg0 == (address(arg0))) { .. }"
8de46362,"mulExp3(arg0 uint256, arg1 uint256, arg2 uint256)",false,false,true,,2174,6,"","","","SafeMath: multiplication overflow","",21230,21765,21447,"","if (arg0) { .. }
if (!(((arg0) & ((arg1 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / arg0)))))) { .. }
if (((arg0 * arg1) / arg0) == arg1) { .. }"
7b94aaac,"truncate(arg0 uint256)",false,false,true,uint256,2059,8,"","","","SafeMath: division by zero","",21228,21798,21451,"",""
d6079cc6,"divScalarByExpTruncate(arg0 uint256, arg1 uint256)",false,false,true,,2841,15,"","","","SafeMath: multiplication overflow
SafeMath: division by zero","",21184,22154,21421,"","if (arg1) { .. }"
a9059cbb,"transfer(arg0 address, arg1 uint256)",false,false,false,bool,2369,20," Transfer(address,address,uint256)","","0x10
keccak256(memory[0])","SafeMath: addition overflow
Cannot transfer to self
SafeMath: subtraction overflow","",21207,47969,29625,"address(address(storage[0x10])).call{ value: 0 }(0xbdcdc25800000000000000000000000000000000000000000000000000000000);
address(address(storage[0x10])).call{ value: 0 }(0x77fc7c8500000000000000000000000000000000000000000000000000000000);","if (!(((storage[keccak256(memory[0])] + arg1) < storage[keccak256(memory[0])]))) { .. }
if (storage[keccak256(memory[0])] == 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff) { .. }
if (!(((address(msg.sender)) == (address(arg0))))) { .. }
if (!((arg1 > storage[keccak256(memory[0])]))) { .. }
if (!(((address(msg.sender)) == (address(msg.sender))))) { .. }
if (!((storage[keccak256(memory[0])] > ~(arg1)))) { .. }
if (!((!((address((address(storage[0x10]))).code.length))))) { .. }
if (!((storage[keccak256(memory[0])] < arg1))) { .. }
if (arg0 == (address(arg0))) { .. }
if (!((arg1 > 0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff))) { .. }"
06fdde03,"name()",false,true,false,bytes memory,1008,10,"","","0
0x01 + keccak256(memory[0])
keccak256(memory[0])","","",21187,28128,23764,"","if (((0x20 + memory[0x40]) + (storage[0] / 0x02)) > (0x20 + (0x20 + (0x20 + memory[0x40])))) { .. }
if (0x1f < (storage[0] / 0x02)) { .. }
if (((0x20 + memory[0x40]) + (storage[0] / 0x02)) > (0x20 + (0x20 + memory[0x40]))) { .. }
if (!((storage[0] / 0x02))) { .. }
if (!(((bytes1(storage[0])) == ((bytes1((storage[0] / 0x02))) < 0x20)))) { .. }
if (!(((bytes1(storage[0])) == ((storage[0] / 0x02) < 0x20)))) { .. }
if (bytes1(storage[0])) { .. }"
095ea7b3,"approve(arg0 address, arg1 uint256)",false,false,false,bool,1083,3," Approval(address,address,uint256)","","keccak256(memory[0])","","",21231,28516,23113,"","if (arg0 == (address(arg0))) { .. }"
6f307dc3,"underlying()",false,true,false,uint256,1832,1,"","","0x13","","",21229,23449,22340,"",""
d9af3db8,"borrowBalanceCurrent(arg0 uint256)",false,false,false,uint256,2873,20,"","","0x0d
0x0f
0x08
0x01 + keccak256(memory[0])
0x0e
0x0c
0x0b
0 + keccak256(memory[0])
keccak256(memory[0])","SafeMath: multiplication overflow
borrow rate is absurdly high
SafeMath: division by zero","",21206,40038,30558,"address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000, 0x536166654d6174683a206469766973696f6e206279207a65726f000000000000, 0x08c379a000000000000000000000000000000000000000000000000000000000);","if (storage[keccak256(memory[0])]) { .. }
if (storage[(0x01 + keccak256(memory[0]))]) { .. }
if (!((block.number == storage[0x0e]))) { .. }
if (!((block.number < storage[0x0e]))) { .. }
if (((storage[0x0d] * 0x0de0b6b3a7640000) / storage[0x0d]) == 0x0de0b6b3a7640000) { .. }
if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (storage[0x0d]) { .. }
if (!((storage[0x0e] > block.number))) { .. }
if (!(((storage[0x0d]) & ((0x0de0b6b3a7640000 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / storage[0x0d])))))) { .. }"
b4ab15e7,"mulScalarTruncate(arg0 uint256, arg1 uint256)",false,false,true,uint256,2496,12,"","","","SafeMath: multiplication overflow
SafeMath: division by zero","",21184,22093,21454,"","if (!(((arg0) & ((arg1 > (0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff / arg0)))))) { .. }
if (arg0) { .. }
if (((arg0 * arg1) / arg0) == arg1) { .. }"
313ce567,"decimals()",false,true,false,uint256,1393,1,"","","0x02","","",21252,23448,22351,"",""
b54f4d87,"getBorrowApy()",false,false,false,uint256,2560,11,"","","0x0f
0x0b
0x0c
0x08","SafeMath: multiplication overflow","",21228,39102,33961,"address(address((address((storage[0x08]))))).staticcall(0xa385fb9600000000000000000000000000000000000000000000000000000000);
address(address(storage[0x08])).staticcall(0x15f2405300000000000000000000000000000000000000000000000000000000);","if (!((!((address((address(storage[0x08]))).code.length))))) { .. }
if (!((!((address((address((address((storage[0x08])))))).code.length))))) { .. }"
